# These data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_ABB: A text abbreviation of the site name primarily for use within the National Water Quality Program
#SITE_QW_ID: Unique USGS station number indicating location where water-quality samples are collected (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID: Typically a unique USGS station number indicating location where streamflow data is recorded. In some instances these data are obtained from outside sources--in those cases the site number used by that entity is displayed. If no site number is available an abbreviated indicator of the collecting agency is displayed  (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text) 
#CONSTIT: A character abbreviation indicative of the water-quality constituent being reported. Values include NO3_NO2: nitrate plus nitrite filtered as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration; NH3: ammonia filtered as N; OP: orthophosphate filtered, as P; SI: silica filtered as SiO2; CHL: Filtered chloride; TDS: Total Dissolved Solids
#WY: A numeric identifier of the water year in which data were recorded.  A water year is defined as the 12-month period from October 1 for any given year through September 30 of the following year. The water year is designated by the calendar year in which it ends.
#MODTYPE: A character indicator of the type of model used to compute water-quality loads as indicated in Lee and others (2017). Values include WRTDS_K indicating the WRTDS-K method; WRTDS_FNG indicating flow-normalized loads computed using the WRTDS generalized flow-normalization method; and WRTDS_FNS indicating flow-normalized loads computed using the WRTDS stationary flow-normalization method
#TONS: Annual water-quality or flow-normalized annual water-quality load measured in tons
#TONS_L90: Lower 90 percent confidence interval about the annual or flow-normalized annual water-quality load measured in tons. NA values indicate that confidence intervals were not computed.
#TONS_U90: Upper 90 percent confidence interval about the annual or flow-normalized annual water-quality load measured in tons. NA values indicate that confidence intervals were not computed.
#CONC: Annual flow-normalized concentration measured in milligrams per liter. Values are only published along with annual flow-normalized water-quality loads, NA values are published along with WRTDS-K loads)
#CONC_L90: Lower 90 percent confidence interval about the annual flow-normalized water-quality load measured in tons. NA values indicate that confidence intervals were not computed.
#CONC_U90: Upper 90 percent confidence interval about the annual flow-normalized water-quality load measured in tons. NA values indicate that confidence intervals were not computed.
"SITE_ABB","SITE_QW_ID","SITE_FLOW_ID","CONSTIT","WY","MODTYPE","TONS","TONS_L90","TONS_U90","CONC","CONC_L90","CONC_U90"
"STFR","07373420","1100","CHL",1967,"WRTDS_FNG","9710000","9000000","10800000","20.9","19.4","23.1"
"STFR","07373420","1100","CHL",1968,"WRTDS_FNG","9590000","8940000","10500000","20.6","19.3","22.3"
"STFR","07373420","1100","CHL",1969,"WRTDS_FNG","9400000","8860000","10100000","20.3","19.2","21.7"
"STFR","07373420","1100","CHL",1970,"WRTDS_FNG","9270000","8810000","9850000","20.0","19.2","21.2"
"STFR","07373420","1100","CHL",1971,"WRTDS_FNG","9140000","8770000","9580000","19.7","19.0","20.7"
"STFR","07373420","1100","CHL",1972,"WRTDS_FNG","9040000","8740000","9380000","19.5","18.8","20.3"
"STFR","07373420","1100","CHL",1973,"WRTDS_FNG","8900000","8590000","9180000","19.3","18.6","20.0"
"STFR","07373420","1100","CHL",1974,"WRTDS_FNG","8850000","8540000","9130000","19.2","18.4","19.9"
"STFR","07373420","1100","CHL",1975,"WRTDS_FNG","8880000","8590000","9150000","19.2","18.4","19.9"
"STFR","07373420","1100","CHL",1976,"WRTDS_FNG","9000000","8660000","9280000","19.3","18.6","20.1"
"STFR","07373420","1100","CHL",1977,"WRTDS_FNG","9080000","8720000","9430000","19.6","18.9","20.4"
"STFR","07373420","1100","CHL",1978,"WRTDS_FNG","9170000","8810000","9540000","19.8","19.0","20.7"
"STFR","07373420","1100","CHL",1979,"WRTDS_FNG","9220000","8800000","9620000","19.9","19.0","20.7"
"STFR","07373420","1100","CHL",1980,"WRTDS_FNG","9360000","8840000","9770000","19.8","18.9","20.7"
"STFR","07373420","1100","CHL",1981,"WRTDS_FNG","9590000","9020000","10000000","19.9","18.9","20.7"
"STFR","07373420","1100","CHL",1982,"WRTDS_FNG","9830000","9220000","10300000","20.0","19.0","21.0"
"STFR","07373420","1100","CHL",1983,"WRTDS_FNG","10100000","9510000","10600000","20.3","19.3","21.3"
"STFR","07373420","1100","CHL",1984,"WRTDS_FNG","10300000","9730000","10800000","20.5","19.5","21.7"
"STFR","07373420","1100","CHL",1985,"WRTDS_FNG","10400000","9750000","11000000","20.5","19.4","21.7"
"STFR","07373420","1100","CHL",1986,"WRTDS_FNG","10200000","9540000","10800000","20.5","19.2","21.8"
