# These data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_ABB: A text abbreviation of the site name primarily for use within the National Water Quality Program
#SITE_QW_ID: Unique USGS station number indicating location where water-quality samples are collected (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID: Typically a unique USGS station number indicating location where streamflow data is recorded. In some instances these data are obtained from outside sources--in those cases the site number used by that entity is displayed.  If no site number is available an abbreviated indicator of the collecting agency is displayed  (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text) 
#WY: A numeric identifier of the water year in which data were recorded.  A water year is defined as the 12-month period from October 1 for any given year through September 30 of the following year. The water year is designated by the calendar year in which it ends.
#FLOW: The volume of water transported for a given water year in acre-feet.
"SITE_ABB","SITE_QW_ID","SITE_FLOW_ID","WY","FLOW"
"STFR","07373420","1100",1968,323000000
"STFR","07373420","1100",1969,333000000
"STFR","07373420","1100",1970,300000000
"STFR","07373420","1100",1971,293000000
"STFR","07373420","1100",1972,300000000
"STFR","07373420","1100",1973,528000000
"STFR","07373420","1100",1974,458000000
"STFR","07373420","1100",1975,404000000
"STFR","07373420","1100",1976,288000000
"STFR","07373420","1100",1977,225000000
"STFR","07373420","1100",1978,366000000
"STFR","07373420","1100",1979,492000000
"STFR","07373420","1100",1980,358000000
"STFR","07373420","1100",1981,257000000
"STFR","07373420","1100",1982,356000000
"STFR","07373420","1100",1983,505000000
"STFR","07373420","1100",1984,432000000
"STFR","07373420","1100",1985,408000000
"STFR","07373420","1100",1986,364000000
"STFR","07373420","1100",1987,370000000
"STFR","07373420","1100",1988,275000000
"STFR","07373420","1100",1989,406000000
"STFR","07373420","1100",1990,434000000
"STFR","07373420","1100",1991,455000000
"STFR","07373420","1100",1992,338000000
"STFR","07373420","1100",1993,528000000
"STFR","07373420","1100",1994,451000000
"STFR","07373420","1100",1995,385000000
"STFR","07373420","1100",1996,357000000
"STFR","07373420","1100",1997,487000000
"STFR","07373420","1100",1998,419000000
"STFR","07373420","1100",1999,391000000
"STFR","07373420","1100",2000,233000000
"STFR","07373420","1100",2001,330000000
"STFR","07373420","1100",2002,397000000
"STFR","07373420","1100",2003,358000000
"STFR","07373420","1100",2004,379000000
"STFR","07373420","1100",2005,388000000
"STFR","07373420","1100",2006,219000000
"STFR","07373420","1100",2007,347000000
"STFR","07373420","1100",2008,462000000
"STFR","07373420","1100",2009,389000000
"STFR","07373420","1100",2010,492000000
"STFR","07373420","1100",2011,419000000
"STFR","07373420","1100",2012,299000000
"STFR","07373420","1100",2013,362000000
"STFR","07373420","1100",2014,336000000
"STFR","07373420","1100",2015,425000000
"STFR","07373420","1100",2016,461000000
"STFR","07373420","1100",2017,375000000
"STFR","07373420","1100",2018,399000000
"STFR","07373420","1100",2019,697000000
"STFR","07373420","1100",2020,563000000
"STFR","07373420","1100",2021,401000000
"MELV","07381495","3045",1968,159000000
"MELV","07381495","3045",1969,165000000
"MELV","07381495","3045",1970,147000000
"MELV","07381495","3045",1971,142000000
"MELV","07381495","3045",1972,150000000
"MELV","07381495","3045",1973,278000000
"MELV","07381495","3045",1974,232000000
"MELV","07381495","3045",1975,233000000
"MELV","07381495","3045",1976,131000000
"MELV","07381495","3045",1977,94800000
"MELV","07381495","3045",1978,158000000
"MELV","07381495","3045",1979,208000000
"MELV","07381495","3045",1980,154000000
"MELV","07381495","3045",1981,109000000
"MELV","07381495","3045",1982,153000000
"MELV","07381495","3045",1983,216000000
"MELV","07381495","3045",1984,185000000
"MELV","07381495","3045",1985,176000000
"MELV","07381495","3045",1986,156000000
"MELV","07381495","3045",1987,159000000
"MELV","07381495","3045",1988,118000000
"MELV","07381495","3045",1989,174000000
"MELV","07381495","3045",1990,186000000
"MELV","07381495","3045",1991,195000000
"MELV","07381495","3045",1992,145000000
"MELV","07381495","3045",1993,226000000
"MELV","07381495","3045",1994,193000000
